"DURATION", "INTERVAL", "GEYSERHT"
240, 86, 140
237, 86, 154
122, 62, 140
267, 104, 140
113, 62, 160
258, 95, 140
232, 79, 150
105, 62, 150
276, 94, 160
248, 79, 155
243, 86, 125
241, 85, 136
214, 86, 140
114, 58, 155
272, 89, 130
227, 79, 125
237, 83, 125
238, 82, 139
203, 84, 125
270, 82, 140
218, 78, 140
226, 91, 135
250, 89, 141
245, 79, 140
120, 57, 139
267, 100, 110
103, 62, 140
270, 87, 135
241, 70, 140
239, 88, 135
233, 82, 140
238, 83, 139
102, 56, 100
271, 81, 105
127, 74, 130
275, 102, 135
140, 61, 131
264, 83, 135
134, 73, 153
268, 97, 155
124, 67, 140
270, 90, 150
249, 84, 153
237, 82, 120
235, 81, 138
228, 78, 135
265, 89, 145
120, 69, 130
275, 98, 136
241, 79, 150
